colors
R	G	B
0x0	0x0	0x0
0x38	0x38	0x38
0x40	0x40	0x40
0x9a	0x9a	0x9a
0xa0	0xa0	0xa0
0xaa	0xaa	0xaa
0x40	0x0	0x0
0x45	0x0	0x0
0x50	0x0	0x0
0x60	0x0	0x0
0xaa	0x0	0x0
0xcc	0x0	0x0
0xeb	0x0	0x0
0xff	0x0	0x0
0xff	0x64	0x0
0xb0	0xaa	0x90
0xaa	0xa0	0x0
0xff	0xfb	0x10
0xaa	0xaa	0x0
0xff	0xff	0x0
0xb4	0xff	0x90
0x0	0xa0	0x0
0x0	0xaa	0x0
0x0	0xbb	0x0
0x0	0xcc	0x0
0x0	0xff	0x0
0x40	0xa0	0x90
0x0	0x70	0x70
0x0	0xaa	0xaa
0x77	0xee	0xff
0x20	0x20	0xd0
0x0	0x0	0xa0
0x0	0x0	0xaa
0x0	0x0	0xca
0x0	0x0	0xff
0xca	0xc6	0xff
0xc7	0x0	0xff
0xa0	0x0	0xa0
0xaa	0x0	0xaa
0xff	0x0	0xff
0xff	0x69	0x6b
